HSN Code,Description of Goods,Old GST Rate (%),New GST Rate (%)
3808,"The following Bio-pesticides, namely - 1 Bacillus thuringiensis var. israelensis 2 Bacillus thuringiensis var. kurstaki 3 Bacillus thuringiensis var. galleriae 4 Bacillus sphaericus 5 Trichoderma viride 6 Trichoderma harzianum 7 Pseudomonas fluoresens 8 Beauveriabassiana 9 NPV of Helicoverpaarmigera 10 NPV of Spodopteralitura 11 Neem based pesticides 12 Cymbopogan",12,5
4011 70 00,Tyre for tractors,18,5
4013 90 49,Tube for tractor tyres,18,5
4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 4114",12,5
4112,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of sheep or lamb, without wool on, whether or not split, other than leather of heading 4114",12,5
4113,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of other animals, without wool or hair on, whether or not split, other than leather of heading 4114",12,5
"4202 22,4202 29, 4202 31 10,4202 31 90, 4202 32,4202 39",Handicraft- Handbags including pouches and purses; jewellery box,12,5
44 or any Chapter,"The following goods, namely: — a. Cement Bonded Particle Board; b. Jute Particle Board; c. Rice Husk Board; d. Glass-fibre Reinforced Gypsum Board (GRG) e. Sisal-fibre Boards; f. Bagasse Board; and g. Cotton Stalk Particle Board h. Particle/fibre board manufactured from agricultural crop residues",12,5
"4416, 4421 99 90","Handicraft- Carved wood products, art ware/ decorative articles of wood (including inlay work, casks, barrel, vats)",12,5
4503 90 90 4504 90,Handicraft- Art ware of cork [including articles of sholapith],12,5
4802,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and non-perforated punch-cards and punch tape paper, in rolls or rectangular (including square) sheets, of any size, other than paper of heading 4801 or 4803; [other than Uncoated paper and paperboard for exercise book, graph book, laboratory notebook and notebooks]",12,18
4804,"Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 4802 or 4803",12,18
4806 40 10,Glassine papers,12,18
4808,"Paper and paperboard, corrugated (with or without glued flat surface sheets), creped, crinkled, embossed or perforated, in rolls or sheets, other than paper of the kind described in heading 4803",12,18
"4819 10, 4819 20","Cartons, boxes and cases of,- (a) Corrugated paper or paper boards; or (b) Non-corrugated paper or paper board",12,5
5604,"Rubber thread and cord, textile covered; textile yarn, and strip and the like of heading 5404 or 5405, impregnated, coated, covered or sheathed with rubber or plastics",12,5
5605,"Metallised yarn, whether or not gimped, being textile yarn or strip or the like of heading 5404 or 5405, combined with metal in the form of thread, strip or powder or covered with metal",12,5
5606,"Gimped yarn, and strip and the like of heading 5404 or 5405, gimped (other than those of heading 5605 and gimped horsehair yarn); chenille yarn (including flock chenille yarn); loop wale-yarn",12,5
5609,"Articles of yarn, strip or the like of heading 5404 or 5405, twine, cordage, rope or cables, not elsewhere specified or included [other than products of coir]",12,5
8414 20 20,Other hand pumps,12,5
8422,"Dish washing machines, household [8422 11 00] and other [8422 19 00]",28,18
8703,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 8702), including station wagons and racing cars, other than those mentioned at Sr. Nos. 313, 314, 315, 316,317 and 319 of above table [wherein 28% to 18% is mentioned ]",28,40
8703,"Petrol, Liquefied petroleum gases (LPG) or compressed natural gas (CNG) driven motor vehicles of engine capacity not exceeding 1200cc and of length not exceeding 4000 mm.",28,18
8703,Diesel driven motor vehicles of engine capacity not exceeding 1500 cc and of length not exceeding 4000 mm.,28,18
"8703 40, 8703 60","Motor vehicles with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, of engine capacity not exceeding 1200cc and of length not exceeding 4000 mm",28,18
"870340, 870360","Motor vehicles with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, of engine capacity exceeding 1200cc or of length exceeding 4000 mm",28,40
"8703 50, 8703 70","Motor vehicles with both compression-ignition internal combustion piston engine [diesel-or semi diesel] and electric motor as motors for propulsion, of engine capacity not exceeding 1500 cc and of length not exceeding 4000 mm",28,18
"870350, 870370","Motor vehicles with both compression-ignition internal combustion piston engine [diesel-or semi diesel] and electric motor as motors for propulsion, of engine capacity exceeding 1500cc or of length exceeding 4000 mm",28,40
8708 40 00,Gear boxes and parts thereof for tractors,18,5
8708 94 00,Steering wheels and its parts thereof for tractor,18,5
"9619 00 30, 9619 00 40, or 9619 00 90","All goods- napkins and napkin liners for babies, clinical diapers",12,5
9701,"Handicraft-Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 4906 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques incl Mysore painting, Rajasthan painting, Tanjore painting, Palm leaf painting, basoli etc.)",12,5
1404 90 10,Bidi wrapper leaves (tendu),18,5
1404 90 50,Indian katha,18,5
1901 [other than 1901 20 00],"Malt extract, food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 0401 to 0404, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis not elsewhere specified or included",18,5
1904 [other than 1904 10 20],"All goods i.e. Corn flakes, bulgar wheat, prepared foods obtained from cereal flakes, Fortified Rice Kernel (FRK)",18,5
1905 90 30,"Extruded or expanded products, savoury or salted",12,5
1905 or 2106,"Khakhra, chapathi or roti",5,Nil
"2101 11, 2101 12 00","Extracts, essences and concentrates of coffee, and preparations with a basis of these extracts, essences or concentrates or with a basis of coffee",18,5
2101 20,"All goods i.e Extracts, essences and concentrates of tea or mate, and preparations with a basis of these extracts, essences or concentrates or with a basis of tea or mate",18,5
2105 00 00,"Ice cream and other edible ice, whether or not containing cocoa",18,5
2202 99 10,Soya milk drinks,12,5
2515 12 10,Marble and travertine blocks,12,5
2801 20,Iodine,12,5
28 or 38,"Micronutrients, which are covered under serial number 1(g) of Schedule 1, Part (A) of the Fertilizer Control Order, 1985 and are manufactured by the manufacturers which are registered under the Fertilizer Control Order, 1985",12,5
30,The following drugs and medicines 1 Onasemnogene abeparvovec 2 Asciminib 3 Mepolizumab 4 Pegylated Liposomal Irinotecan 5 Daratumumab 6 Daratumumab subcutaneous 7 Teclistamab 8 Amivantamab 9 Alectinib 10 Risdiplam 11 Obinutuzumab 12 Polatuzumab vedotin 13 Entrectinib 14 Atezolizumab 15 Spesolimab 16 Velaglucerase Alpha 17 Agalsidase Alfa 18 Rurioctocog Alpha Pegol 19 Idursulphatase 20 Alglucosidase Alfa 21 Laronidase 22 Olipudase Alfa 23 Tepotinib 24 Avelumab 25 Emicizumab 26 Belumosudil 27 Miglustat 28 Velmanase Alfa 29 Alirocumab 30 Evolocumab 31 Cystamine Bitartrate 32 CI-Inhibitor injection 33 Inclisiran,12,Nil
3003,"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale, including Ayurvedic, Unani, Siddha, homoeopathic or Bio-chemic systems medicaments",12,5
3004,"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses (including those in the form of transdermal administration systems) or in forms or packings for retail sale, including Ayurvedic, Unani, homoeopathic siddha or Bio-chemic systems medicaments, put up for retail sale",12,5
3605 00 10,All goods-safety matches,12,5
3808,"The following Bio-pesticides, namely - 1 Bacillus thuringiensis var. israelensis 2 Bacillus thuringiensis var. kurstaki 3 Bacillus thuringiensis var. galleriae 4 Bacillus sphaericus 5 Trichoderma viride 6 Trichoderma harzianum 7 Pseudomonas fluoresens 8 Beauveriabassiana 9 NPV of Helicoverpaarmigera 10 NPV of Spodopteralitura 11 Neem based pesticides 12 Cymbopogan",12,5
"4202 22,4202 29, 4202 31 10,4202 31 90, 4202 32,4202 39",Handicraft- Handbags including pouches and purses; jewellery box,12,5
"4819 10, 4819 20","Cartons, boxes and cases of,- (a) Corrugated paper or paper boards; or (b) Non-corrugated paper or paper board",12,5
"5402, 5403, 5404, 5405, 5406",Synthetic or artificial filament yarns,12,5
"5402, 5404, 5406",All goods,18,5
"5403, 5405, 5406",All goods,18,5
"5501, 5502",Synthetic or artificial filament tow,18,5
"5503, 5504, 5506, 5507",Synthetic or artificial staple fibres,18,5
"5509, 5510, 5511",Yarn of manmade staple fibres,12,5
5604,"Rubber thread and cord, textile covered; textile yarn, and strip and the like of heading 5404 or 5405, impregnated, coated, covered or sheathed with rubber or plastics",12,5
5605,"Metallised yarn, whether or not gimped, being textile yarn or strip or the like of heading 5404 or 5405, combined with metal in the form of thread, strip or powder or covered with metal",12,5
5606,"Gimped yarn, and strip and the like of heading 5404 or 5405, gimped (other than those of heading 5605 and gimped horsehair yarn); chenille yarn (including flock chenille yarn); loop wale-yarn",12,5
5609,"Articles of yarn, strip or the like of heading 5404 or 5405, twine, cordage, rope or cables, not elsewhere specified or included [other than products of coir]",12,5
5802,"Terry towelling and similar woven terry fabrics, other than narrow fabrics of heading 5806; tufted textile fabrics, other than products of heading 5703",12,5
5803,"Gauze, other than narrow fabrics of heading 5806",12,5
5809,"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind used in apparel, as furnishing fabrics or for similar purposes, not elsewhere specified or included; such as Zari borders",12,5
5811,"Quilted textile products in the piece, composed of one or more layers of textile materials assembled with padding by stitching or otherwise, other than embroidery of heading 5810",12,5
5903,"Textile fabrics impregnated, coated, covered or laminated with plastics, other than those of heading 5902",12,5
5906,"Rubberised textile fabrics, other than those of heading 5902",12,5
6701,"Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (other than goods of heading 0505 and worked quills and scapes)",12,5
"691200 10, 6912 00 20","Handicraft-Tableware and kitchenware of clay and terracotta, other clay articles",12,5
"84, 85 or 94","Following renewable energy devices and parts for their manufacture:- (a) Bio-gas plant; (b) Solar power-based devices; (c) Solar power generator; (d) Wind mills, Wind Operated Electricity Generator (WOEG); (e) Waste to energy plants / devices; (f) Solar lantern / solar lamp; (g) Ocean waves/tidal waves energy devices/plants; (h) Photo voltaic cells, whether or not assembled in modules or made up into panels.",12,5
8525 60,"Two-way radio (Walkie talkie) used by defence, police and paramilitary forces etc",12,5
"8703 50, 8703 70","Motor vehicles with both compression-ignition internal combustion piston engine [diesel-or semi diesel] and electric motor as motors for propulsion, of engine capacity not exceeding 1500 cc and of length not exceeding 4000 mm",28,18
8708,Parts and accessories of the motor vehicles of headings 8701 to 8705 [other than specified parts of tractors],28,18
8708 50 00,Transaxles and its parts thereof for tractors,18,5
2106 90,"Namkeens, bhujia, mixture, chabena and similar edible preparations ready for consumption form (other than roasted gram), pre-packaged and labelled",12,5
2106 90 20,Pan masala*,28,40 (effective date for new rate is yet to be annouced)
2106 90 91,Diabetic foods,12,5
30,The following drugs and medicines 1 Onasemnogene abeparvovec 2 Asciminib 3 Mepolizumab 4 Pegylated Liposomal Irinotecan 5 Daratumumab 6 Daratumumab subcutaneous 7 Teclistamab 8 Amivantamab 9 Alectinib 10 Risdiplam 11 Obinutuzumab 12 Polatuzumab vedotin 13 Entrectinib 14 Atezolizumab 15 Spesolimab 16 Velaglucerase Alpha 17 Agalsidase Alfa 18 Rurioctocog Alpha Pegol 19 Idursulphatase 20 Alglucosidase Alfa 21 Laronidase 22 Olipudase Alfa 23 Tepotinib 24 Avelumab 25 Emicizumab 26 Belumosudil 27 Miglustat 28 Velmanase Alfa 29 Alirocumab 30 Evolocumab 31 Cystamine Bitartrate 32 CI-Inhibitor injection 33 Inclisiran,12,Nil
3808,"The following Bio-pesticides, namely - 1 Bacillus thuringiensis var. israelensis 2 Bacillus thuringiensis var. kurstaki 3 Bacillus thuringiensis var. galleriae 4 Bacillus sphaericus 5 Trichoderma viride 6 Trichoderma harzianum 7 Pseudomonas fluoresens 8 Beauveriabassiana 9 NPV of Helicoverpaarmigera 10 NPV of Spodopteralitura 11 Neem based pesticides 12 Cymbopogan",12,5
"44, 68, 83","Idols of wood, stone [including marble] and metals [other than those made of precious metals]",12,5
4408,"Sheets for veneering (including those obtained by slicing laminated wood), for plywood or for similar laminated wood and other wood, sawn lengthwise, sliced or peeled, whether or not planed, sanded, spliced or end-jointed, of a thickness not exceeding 6 mm [for match splints]",12,5
5804,"Tulles and other net fabrics, not including woven, knitted or crocheted fabrics; lace in the piece, in strips or in motifs, other than fabrics of headings 6002 to 6006",12,5
"6117, 6214",Handmade/hand embroidered shawls,12,5
63 [other than 6309],"Other made up textile articles, sets of sale value exceeding Rs. 2500 per piece [other than Worn clothing and other worn articles; rags]",12,18
6603,"Parts, trimmings and accessories of articles of heading 6601 or 6602",12,5
"691200 10, 6912 00 20","Handicraft-Tableware and kitchenware of clay and terracotta, other clay articles",12,5
7326 90 99,Handicraft -Art ware of iron,12,5
7616 99 90,Handicraft -Aluminium art ware,12,5
"8703 40, 8703 60","Motor vehicles with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, of engine capacity not exceeding 1200cc and of length not exceeding 4000 mm",28,18
8716 80,"Hand propelled vehicles (e.g. hand carts, rickshaws and the like); animal drawn vehicles",12,5
9701,"Handicraft-Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 4906 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques incl Mysore painting, Rajasthan painting, Tanjore painting, Palm leaf painting, basoli etc.)",12,5
30,The following drugs and medicines 1 Onasemnogene abeparvovec 2 Asciminib 3 Mepolizumab 4 Pegylated Liposomal Irinotecan 5 Daratumumab 6 Daratumumab subcutaneous 7 Teclistamab 8 Amivantamab 9 Alectinib 10 Risdiplam 11 Obinutuzumab 12 Polatuzumab vedotin 13 Entrectinib 14 Atezolizumab 15 Spesolimab 16 Velaglucerase Alpha 17 Agalsidase Alfa 18 Rurioctocog Alpha Pegol 19 Idursulphatase 20 Alglucosidase Alfa 21 Laronidase 22 Olipudase Alfa 23 Tepotinib 24 Avelumab 25 Emicizumab 26 Belumosudil 27 Miglustat 28 Velmanase Alfa 29 Alirocumab 30 Evolocumab 31 Cystamine Bitartrate 32 CI-Inhibitor injection 33 Inclisiran,12,Nil
3808,"The following Bio-pesticides, namely - 1 Bacillus thuringiensis var. israelensis 2 Bacillus thuringiensis var. kurstaki 3 Bacillus thuringiensis var. galleriae 4 Bacillus sphaericus 5 Trichoderma viride 6 Trichoderma harzianum 7 Pseudomonas fluoresens 8 Beauveriabassiana 9 NPV of Helicoverpaarmigera 10 NPV of Spodopteralitura 11 Neem based pesticides 12 Cymbopogan",12,5
5911,"Textile products and articles, for technical uses, specified in Note 7 to this Chapter; such as Textile fabrics, felt and felt- lined woven fabrics, coated, covered or laminated with rubber, leather or other material, of a kind used for card clothing, and similar fabrics of a kind used for other technical purposes, including narrow fabrics made of velvet impregnated with rubber, for covering weaving spindles (weaving beams); Bolting cloth, whether or Not made up; Felt for cotton textile industries, woven; Woven textiles felt, whether or not impregnated or coated, of a kind commonly used in other machines, Cotton fabrics and articles used in machinery and plant, Jute fabrics and articles used in machinery or plant, Textile fabrics of metalised yarn of a kind commonly used in paper making or other machinery, Straining cloth of a kind used in oil presses or the like, including that of human hair, Paper maker's felt, woven, Gaskets, washers, polishing discs and other machinery parts of textile articles",12,5
7310 or 7326,"Mathematical boxes, geometry boxes and colour boxes",12,5
"7310, 7323, 7612, or 7615","Milk cans made of Iron, Steel, or Aluminium",12,5
8409,Parts suitable for use solely or principally with the engines of heading 8407 or 8408,28,18
8703,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 8702), including station wagons and racing cars, other than those mentioned at Sr. Nos. 313, 314, 315, 316,317 and 319 of above table [wherein 28% to 18% is mentioned ]",28,40
"8703 50, 8703 70","Motor vehicles with both compression-ignition internal combustion piston engine [diesel-or semi diesel] and electric motor as motors for propulsion, of engine capacity not exceeding 1500 cc and of length not exceeding 4000 mm",28,18
8708 70 00,Road wheels and parts and accessories thereof for tractors,18,5
813,"Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of Chapter 8 (other than dried tamarind)",12,5
1901 [other than 1901 20 00],"Malt extract, food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 0401 to 0404, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis not elsewhere specified or included",18,5
2009 89 90,"Tender coconut water, pre-packaged and labelled",12,5
2515 12 10,Marble and travertine blocks,12,5
28 or 38,"Micronutrients, which are covered under serial number 1(g) of Schedule 1, Part (A) of the Fertilizer Control Order, 1985 and are manufactured by the manufacturers which are registered under the Fertilizer Control Order, 1985",12,5
30,The following drugs and medicines 1 Onasemnogene abeparvovec 2 Asciminib 3 Mepolizumab 4 Pegylated Liposomal Irinotecan 5 Daratumumab 6 Daratumumab subcutaneous 7 Teclistamab 8 Amivantamab 9 Alectinib 10 Risdiplam 11 Obinutuzumab 12 Polatuzumab vedotin 13 Entrectinib 14 Atezolizumab 15 Spesolimab 16 Velaglucerase Alpha 17 Agalsidase Alfa 18 Rurioctocog Alpha Pegol 19 Idursulphatase 20 Alglucosidase Alfa 21 Laronidase 22 Olipudase Alfa 23 Tepotinib 24 Avelumab 25 Emicizumab 26 Belumosudil 27 Miglustat 28 Velmanase Alfa 29 Alirocumab 30 Evolocumab 31 Cystamine Bitartrate 32 CI-Inhibitor injection 33 Inclisiran,12,Nil
3808,"The following Bio-pesticides, namely - 1 Bacillus thuringiensis var. israelensis 2 Bacillus thuringiensis var. kurstaki 3 Bacillus thuringiensis var. galleriae 4 Bacillus sphaericus 5 Trichoderma viride 6 Trichoderma harzianum 7 Pseudomonas fluoresens 8 Beauveriabassiana 9 NPV of Helicoverpaarmigera 10 NPV of Spodopteralitura 11 Neem based pesticides 12 Cymbopogan",12,5
"44, 68, 83","Idols of wood, stone [including marble] and metals [other than those made of precious metals]",12,5
7018 90 10,Handicraft-Glass statues [other than those of crystal],12,5
7321 or 8516,Solar cookers,12,5
7419 80 30,Brass Kerosene Pressure Stove,12,5
7419 80,"Handicraft -Art ware of brass, copper/ copper alloys, electro plated with nickel/silver",12,5
"84, 85 or 94","Following renewable energy devices and parts for their manufacture:- (a) Bio-gas plant; (b) Solar power-based devices; (c) Solar power generator; (d) Wind mills, Wind Operated Electricity Generator (WOEG); (e) Waste to energy plants / devices; (f) Solar lantern / solar lamp; (g) Ocean waves/tidal waves energy devices/plants; (h) Photo voltaic cells, whether or not assembled in modules or made up into panels.",12,5
8408 20 20,Agricultural Diesel Engine of cylinder capacity exceeding 250 cc for Tractor,18,5
8409,Parts suitable for use solely or principally with the engines of heading 8407 or 8408,28,18
8452,"Sewing machines, other than book-sewing machine of heading 8440; furniture, bases and covers specially designed for sewing machines; sewing machines needles and parts of sewing machines",12,5
8703,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 8702), including station wagons and racing cars, other than those mentioned at Sr. Nos. 313, 314, 315, 316,317 and 319 of above table [wherein 28% to 18% is mentioned ]",28,40
8702 or 8703,"Motor vehicles cleared as ambulances duly fitted with all the fitments, furniture and accessories necessary for an ambulance from the factory manufacturing such motor vehicles",28,18
"8703 40, 8703 60","Motor vehicles with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, of engine capacity not exceeding 1200cc and of length not exceeding 4000 mm",28,18
"870340, 870360","Motor vehicles with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, of engine capacity exceeding 1200cc or of length exceeding 4000 mm",28,40
"8703 50, 8703 70","Motor vehicles with both compression-ignition internal combustion piston engine [diesel-or semi diesel] and electric motor as motors for propulsion, of engine capacity not exceeding 1500 cc and of length not exceeding 4000 mm",28,18
"870350, 870370","Motor vehicles with both compression-ignition internal combustion piston engine [diesel-or semi diesel] and electric motor as motors for propulsion, of engine capacity exceeding 1500cc or of length exceeding 4000 mm",28,40
8706,"Chassis fitted with engines, for the motor vehicles of headings 8701 to 8705",28,18
8707,"Bodies (including cabs), for the motor vehicles of headings 8701 to 8705",28,18
8708,Parts and accessories of the motor vehicles of headings 8701 to 8705 [other than specified parts of tractors],28,18
8708 10 10,Bumpers and parts thereof for tractors,18,5
8708 91 00,(i) Radiator assembly for tractors and parts thereof Cooling system for tractor engine and parts thereof,18,5
8708 92 00,Silencer assembly for tractors and parts thereof,18,5
8708 93 00,Clutch assembly and its parts thereof for tractors,18,5
8708 94 00,Steering wheels and its parts thereof for tractor,18,5
8708 99 00,Hydraulic and its parts thereof for tractors,18,5
8708 99 00,"Fender, Hood, wrapper, Grill, Side Panel, Extension Plates, Fuel Tank and parts thereof for tractors",18,5
8714,"Parts and accessories of bicycles and other cycles (including delivery tricycles), not motorised, of 8712",12,5
8714,Parts and accessories of vehicles of heading 8711,28,18
9507,"Fishing rods, and other line fishing tackle; fish landing nets, butterfly nets and similar nets; decoy “birds” (other than those of heading 9208 or 9705) and similar hunting or shooting requisites",12,5
9615,"Combs, hair-slides and the like; hairpins, curling pins, curling grips, hair-curlers and the like, other than those of heading 8516, and parts thereof",12,5
1501,"Pig fats (including lard) and poultry fat, other than that of heading 0209 or 1503",12,5
"1701 91, 1701 99","All goods, including refined sugar containing added flavouring or colouring matter, sugar cubes",12,5
2009 89 90,"Tender coconut water, pre-packaged and labelled",12,5
2106 90 91,Diabetic foods,12,5
"2202 91 00, 2202 99",Other non-alcoholic beverages,18,40
2202 99 10,Soya milk drinks,12,5
2202 99 30,Beverages containing milk,12,5
2202 99 90,Caffeinated Beverages,28,40
2404 19 00*,Products containing tobacco or nicotine substitutes and intended for inhalation without combustion,28,40 (effective date for new rate is yet to be annouced)
29 or 380893,Gibberellic acid,12,5
30,The following drugs and medicines 1 Onasemnogene abeparvovec 2 Asciminib 3 Mepolizumab 4 Pegylated Liposomal Irinotecan 5 Daratumumab 6 Daratumumab subcutaneous 7 Teclistamab 8 Amivantamab 9 Alectinib 10 Risdiplam 11 Obinutuzumab 12 Polatuzumab vedotin 13 Entrectinib 14 Atezolizumab 15 Spesolimab 16 Velaglucerase Alpha 17 Agalsidase Alfa 18 Rurioctocog Alpha Pegol 19 Idursulphatase 20 Alglucosidase Alfa 21 Laronidase 22 Olipudase Alfa 23 Tepotinib 24 Avelumab 25 Emicizumab 26 Belumosudil 27 Miglustat 28 Velmanase Alfa 29 Alirocumab 30 Evolocumab 31 Cystamine Bitartrate 32 CI-Inhibitor injection 33 Inclisiran,12,Nil
3808,"The following Bio-pesticides, namely - 1 Bacillus thuringiensis var. israelensis 2 Bacillus thuringiensis var. kurstaki 3 Bacillus thuringiensis var. galleriae 4 Bacillus sphaericus 5 Trichoderma viride 6 Trichoderma harzianum 7 Pseudomonas fluoresens 8 Beauveriabassiana 9 NPV of Helicoverpaarmigera 10 NPV of Spodopteralitura 11 Neem based pesticides 12 Cymbopogan",12,5
"4202 22,4202 29, 4202 31 10,4202 31 90, 4202 32,4202 39",Handicraft- Handbags including pouches and purses; jewellery box,12,5
"4416, 4421 99 90","Handicraft- Carved wood products, art ware/ decorative articles of wood (including inlay work, casks, barrel, vats)",12,5
4420,"Wood marquetry and inlaid wood; caskets and cases for jewellery or cutlery, and similar articles, of wood; statuettes and other ornaments, of wood; wooden articles of furniture not falling in Chapter 94",12,5
4503 90 90 4504 90,Handicraft- Art ware of cork [including articles of sholapith],12,5
"4819 10, 4819 20","Cartons, boxes and cases of,- (a) Corrugated paper or paper boards; or (b) Non-corrugated paper or paper board",12,5
7009 92 00,Handicraft-Ornamental framed mirrors,12,5
7020 00 90,"Handicraft-Glass art ware [ incl. pots, jars, votive, cask, cake cover, tulip bottle, vase ]",12,5
7326 90 99,Handicraft -Art ware of iron,12,5
7616 99 90,Handicraft -Aluminium art ware,12,5
"84, 85 or 94","Following renewable energy devices and parts for their manufacture:- (a) Bio-gas plant; (b) Solar power-based devices; (c) Solar power generator; (d) Wind mills, Wind Operated Electricity Generator (WOEG); (e) Waste to energy plants / devices; (f) Solar lantern / solar lamp; (g) Ocean waves/tidal waves energy devices/plants; (h) Photo voltaic cells, whether or not assembled in modules or made up into panels.",12,5
8422,"Dish washing machines, household [8422 11 00] and other [8422 19 00]",28,18
8703,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 8702), including station wagons and racing cars, other than those mentioned at Sr. Nos. 313, 314, 315, 316,317 and 319 of above table [wherein 28% to 18% is mentioned ]",28,40
8708 99 00,Hydraulic and its parts thereof for tractors,18,5
8708 99 00,"Fender, Hood, wrapper, Grill, Side Panel, Extension Plates, Fuel Tank and parts thereof for tractors",18,5
9302,"Revolvers and pistols, other than those of heading 9303 or 9304",28,40
"940150, 9403 80","Handicraft- Furniture of bamboo, rattan and cane",12,5
9507,"Fishing rods, and other line fishing tackle; fish landing nets, butterfly nets and similar nets; decoy “birds” (other than those of heading 9208 or 9705) and similar hunting or shooting requisites",12,5
"9608, 9609","Pencils (including propelling or sliding pencils), crayons, pastels, drawing charcoals, writing or drawing chalk and tailors’ chalk; chalk sticks",12,Nil
"9619 00 30, 9619 00 40, or 9619 00 90","All goods- napkins and napkin liners for babies, clinical diapers",12,5
"01012100, 010129",Live horses,12,5
"0402 91 10, 0402 99 20",Condensed milk,12,5
813,"Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of Chapter 8 (other than dried tamarind)",12,5
1501,"Pig fats (including lard) and poultry fat, other than that of heading 0209 or 1503",12,5
1520 00 00,"Glycerol, crude; glycerol waters and glycerol lyes",18,5
1901 [other than 1901 20 00],"Malt extract, food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 0401 to 0404, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis not elsewhere specified or included",18,5
"2101 11, 2101 12 00","Extracts, essences and concentrates of coffee, and preparations with a basis of these extracts, essences or concentrates or with a basis of coffee",18,5
2105 00 00,"Ice cream and other edible ice, whether or not containing cocoa",18,5
2106 90 91,Diabetic foods,12,5
2201,Drinking water packed in 20 litre bottles,12,5
2404 11 00*,Products containing tobacco or reconstituted tobacco and intended for inhalation without combustion,28,40 (effective date for new rate is yet to be annouced)
30,The following drugs and medicines 1 Onasemnogene abeparvovec 2 Asciminib 3 Mepolizumab 4 Pegylated Liposomal Irinotecan 5 Daratumumab 6 Daratumumab subcutaneous 7 Teclistamab 8 Amivantamab 9 Alectinib 10 Risdiplam 11 Obinutuzumab 12 Polatuzumab vedotin 13 Entrectinib 14 Atezolizumab 15 Spesolimab 16 Velaglucerase Alpha 17 Agalsidase Alfa 18 Rurioctocog Alpha Pegol 19 Idursulphatase 20 Alglucosidase Alfa 21 Laronidase 22 Olipudase Alfa 23 Tepotinib 24 Avelumab 25 Emicizumab 26 Belumosudil 27 Miglustat 28 Velmanase Alfa 29 Alirocumab 30 Evolocumab 31 Cystamine Bitartrate 32 CI-Inhibitor injection 33 Inclisiran,12,Nil
3605 00 10,All goods-safety matches,12,5
3808,"The following Bio-pesticides, namely - 1 Bacillus thuringiensis var. israelensis 2 Bacillus thuringiensis var. kurstaki 3 Bacillus thuringiensis var. galleriae 4 Bacillus sphaericus 5 Trichoderma viride 6 Trichoderma harzianum 7 Pseudomonas fluoresens 8 Beauveriabassiana 9 NPV of Helicoverpaarmigera 10 NPV of Spodopteralitura 11 Neem based pesticides 12 Cymbopogan",12,5
4011 70 00,Tyre for tractors,18,5
4502 00 00,"Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip (including sharp-edged blanks for corks or stoppers)",12,5
4503 90 90 4504 90,Handicraft- Art ware of cork [including articles of sholapith],12,5
4806 20 00,Greaseproof papers,12,18
61,"Articles of apparel and clothing accessories, knitted or crocheted, of sale value exceeding Rs. 2500 per piece",12,18
